Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
1/19/2021 21:54:11,2nd year,Bad,35,Male,20,Department,Single,Yes,3,Normal,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Yes,No,Yes,6
2/15/2021 9:46:27,4th year,Good,70,Male,22,Home,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,7
2/15/2021 9:48:10,2nd year,Bad,32,Male,21,Playground,Single,No,2,Good,Yes,Yes,No,Family,Yes,Yes,Neutral,Yes,No,5
2/15/2021 9:51:10,1st year,Very bad,15,Male,20,Hall-Mess,Single,No,3,Normal,Yes,No,Yes,Family,Not applicable,No,No,Yes,No,5
2/15/2021 9:53:11,2nd year,Very bad,19,Male,21,Playground,Single,No,1,Normal,Yes,No,No,Friends,Yes,Yes,Yes,No,No,3
2/15/2021 10:06:23,3rd year,Bad,37,Male,22,Home,Single,Yes,2,Bad,Yes,Yes,Yes,Family,Yes,No,Neutral,Yes,Yes,4
2/15/2021 10:09:23,2nd year,Very good,90,Male,21,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,No,8
2/15/2021 10:12:24,1st year,Normal,53,Male,20,Town,Single,No,5,Good,Yes,No,No,Friends,Not applicable,Maybe,Neutral,Yes,Yes,7
2/15/2021 10:14:24,2nd year,Very bad,4,Male,21,Home,Single,No,3,Bad,Yes,Yes,No,Friends,No,Yes,Yes,No,Yes,5
2/15/2021 10:17:24,4th year,Normal,60,Male,23,Playground,Single,No,4,Normal,Yes,No,Yes,Friends,No,Maybe,Yes,Yes,No,8
2/15/2021 10:20:24,4th year,Very good,96,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Not applicable,Not applicable,No,Yes,No,Yes,9
2/15/2021 10:23:24,3rd year,Good,72,Male,22,town,Single,Yes,4,Normal,No,Yes,Yes,Family,Not applicable,No,Neutral,No,No,10
2/15/2021 10:26:24,1st year,Normal,66,Male,20,Hall-Mess,Single,No,4,Good,No,Yes,No,Family,Not applicable,No,Neutral,Yes,Yes,6
2/15/2021 10:28:25,4th year,Normal,53,Male,23,Hall-Mess,Single,No,5,Normal,No,No,No,Friends,No,No,Neutral,Yes,Yes,7
2/15/2021 10:31:25,4th year,Very bad,15,Male,23,Aunt's House,Single,Yes,3,Normal,Yes,Yes,Yes,Friends,Yes,Yes,Yes,Yes,No,6
2/15/2021 10:34:25,1st year,Normal,62,Male,20,Sister's Home,Single,Yes,5,Normal,Yes,Yes,No,Not applicable,No,No,Neutral,Yes,No,7
2/15/2021 10:36:25,2nd year,Bad,36,Male,21,Playground,Single,No,1,Good,Yes,No,Yes,Family,No,Maybe,No,Yes,Yes,4
2/15/2021 10:38:25,1st year,Very good,98,Male,20,Hall-Mess,Single,Yes,5,Good,No,Yes,Yes,Friends,No,No,Yes,No,Yes,8
2/15/2021 10:41:25,2nd year,Good,70,Male,21,Sister's Home,Single,Yes,3,Good,No,Yes,Yes,Family,Not applicable,No,Neutral,No,Yes,10
2/15/2021 10:44:25,1st year,Normal,67,Male,20,Aunt's House,Single,Yes,3,Normal,Yes,Yes,No,Friends,No,No,Yes,No,No,6
2/15/2021 10:47:26,3rd year,Normal,64,Male,22,Home,Single,Yes,5,Normal,No,Yes,No,Friends,No,Maybe,Yes,No,Yes,6
2/15/2021 10:50:26,1st year,Normal,53,Male,20,SIster's Home,Single,Yes,3,Normal,No,No,No,Friends,No,Maybe,Neutral,No,Yes,6
2/15/2021 10:53:26,1st year,Good,79,Male,20,Aunt's House,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
2/15/2021 10:55:26,1st year,Very bad,5,Male,20,Hall-Mess,Single,No,1,Good,Yes,Yes,Yes,Family,Yes,Yes,Neutral,No,Yes,7
2/15/2021 10:58:26,2nd year,Very good,94,Male,21,Playground,Single,Yes,4,Good,No,No,Yes,Family,No,No,Neutral,No,Yes,7
2/15/2021 11:00:27,2nd year,Bad,43,Male,21,Department,Single,No,3,Bad,Yes,Yes,Yes,Family,Not applicable,Yes,Neutral,No,Yes,6
2/15/2021 11:02:27,3rd year,Very good,93,Male,22,Playground,Single,Yes,5,Normal,No,No,Yes,Not applicable,Not applicable,No,Neutral,No,Yes,10
2/15/2021 11:04:27,1st year,Very bad,3,Male,20,Department,Single,Yes,1,Good,Yes,Yes,Yes,Not applicable,No,Maybe,No,No,Yes,4
2/15/2021 11:06:27,1st year,Very bad,5,Male,20,Home,Single,No,1,Normal,Yes,Yes,Yes,Friends,Yes,No,Neutral,No,No,4
2/15/2021 11:08:27,3rd year,Good,74,Male,22,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
2/15/2021 11:28:06,4th year,Very good,94,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Not applicable,Yes,No,Neutral,No,Yes,7
2/15/2021 11:30:06,2nd year,Good,79,Male,21,Playground,Single,Yes,3,Good,No,Yes,Yes,Friends,No,No,Neutral,No,Yes,9
2/15/2021 11:32:06,1st year,Normal,64,Male,20,Aunt's House,Single,No,5,Good,No,No,Yes,Family,Not applicable,Maybe,Yes,Yes,No,8
2/15/2021 11:35:22,1st year,Very good,90,Male,20,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,No,No,Yes,No,No,7
2/15/2021 11:38:09,1st year,Very bad,16,Male,20,Home,Single,No,1,Bad,Yes,No,Yes,Family,Yes,Yes,No,No,No,6
2/15/2021 11:41:08,1st year,Bad,41,Male,20,Department,Single,Yes,3,Good,Yes,Yes,No,Family,Not applicable,Maybe,Neutral,Yes,No,5
2/15/2021 11:43:08,1st year,Bad,43,Male,20,Home,Single,Yes,2,Bad,Yes,No,Yes,Friends,Not applicable,Maybe,Yes,No,No,4
2/15/2021 11:45:08,1st year,Very bad,12,Male,20,Town,Single,Yes,1,Bad,Yes,No,Yes,Friends,Not applicable,Maybe,Yes,Yes,Yes,6
2/15/2021 11:48:08,2nd year,Very bad,15,Male,21,Playground,Single,No,2,Good,Yes,Yes,Yes,Not applicable,No,Maybe,Neutral,No,Yes,4
2/15/2021 11:50:08,2nd year,Very good,94,Male,21,Mosque,Single,Yes,5,Good,No,No,Yes,Not applicable,Not applicable,No,Yes,No,No,6
2/15/2021 11:53:09,1st year,Bad,33,Male,20,Department,Single,Yes,1,Good,Yes,No,No,Not applicable,Yes,Yes,Yes,No,No,3
2/15/2021 11:55:09,4th year,Very good,97,Male,23,Home,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
2/15/2021 11:58:09,1st year,Very bad,6,Male,20,Town,Single,No,2,Good,Yes,No,Yes,Friends,No,Yes,Yes,No,Yes,6
2/15/2021 12:01:09,1st year,Bad,31,Male,20,Playground,Single,No,3,Bad,Yes,No,Yes,Friends,Not applicable,Maybe,No,Yes,No,4
2/15/2021 12:03:09,2nd year,Very good,94,Male,21,Department,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,10
2/15/2021 12:30:11,2nd year,Very bad,9,Male,21,Home,Single,Yes,3,Good,Yes,Yes,No,Family,Not applicable,No,No,No,No,4
2/15/2021 12:32:11,1st year,Very good,95,Male,20,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,8
2/15/2021 12:34:12,4th year,Very good,95,Male,23,Aunt's House,Single,Yes,5,Good,No,No,Yes,Family,Not applicable,No,Yes,No,Yes,8
2/15/2021 12:36:12,3rd year,Bad,41,Male,22,Sister's Home,Single,Yes,2,Bad,Yes,Yes,Yes,Not applicable,Not applicable,No,Neutral,Yes,Yes,6
2/15/2021 12:39:12,3rd year,Normal,70,Male,22,Playground,Single,No,4,Normal,Yes,Yes,No,Friends,No,No,Yes,No,Yes,7
2/15/2021 12:41:12,4th year,Very bad,6,Male,23,Hall-Mess,Single,Yes,3,Bad,Yes,No,Yes,Friends,No,Maybe,Yes,Yes,No,4
2/15/2021 12:43:12,4th year,Bad,45,Male,23,Sister's Home,Single,No,1,Good,Yes,No,Yes,Friends,No,No,Neutral,Yes,Yes,4
2/15/2021 12:45:12,2nd year,Bad,29,Male,21,Aunt's House,Single,Yes,3,Bad,Yes,No,Yes,Friends,Yes,Yes,Yes,Yes,Yes,6
2/15/2021 12:47:12,2nd year,Bad,45,Male,21,Department,Single,Yes,2,Normal,Yes,No,No,Friends,Not applicable,Maybe,Neutral,No,Yes,3
2/15/2021 12:50:12,2nd year,Very good,91,Male,21,Department,Single,Yes,4,Normal,No,No,Yes,Family,Not applicable,No,Yes,No,No,10
2/15/2021 12:53:12,1st year,Very bad,7,Male,20,Playground,Single,No,1,Bad,Yes,Yes,No,Family,Not applicable,Yes,No,Yes,No,4
2/15/2021 12:55:13,4th year,Normal,67,Male,23,Aunt's House,Single,Yes,5,Good,Yes,Yes,Yes,Not applicable,No,Maybe,Neutral,Yes,No,6
2/15/2021 12:58:13,1st year,Normal,61,Male,20,Sister's Home,Single,Yes,4,Normal,Yes,Yes,Yes,Family,No,Maybe,Yes,No,Yes,7
2/15/2021 13:01:13,4th year,Normal,55,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Not applicable,No,Maybe,Yes,No,Yes,8
2/15/2021 13:04:13,2nd year,Normal,70,Male,21,Home,Single,Yes,4,Normal,No,Yes,No,Family,Not applicable,No,Neutral,No,No,7
2/15/2021 13:06:13,4th year,Very bad,16,Male,23,Home,Single,No,2,Good,Yes,Yes,Yes,Friends,No,Maybe,Yes,Yes,Yes,6
2/15/2021 13:08:13,1st year,Bad,49,Male,20,Town,Single,No,3,Bad,Yes,Yes,No,Not applicable,Yes,Maybe,Yes,No,No,4
2/15/2021 13:10:13,4th year,Normal,65,Male,23,Playground,Single,No,3,Normal,No,No,No,Not applicable,No,Maybe,Yes,Yes,Yes,7
2/15/2021 13:12:14,4th year,Bad,27,Male,23,Mosque,Single,Yes,1,Good,Yes,Yes,Yes,Family,No,No,Yes,Yes,Yes,7
2/15/2021 13:16:09,1st year,Good,80,Male,20,Department,Single,Yes,4,Good,No,No,Yes,Family,No,No,Yes,No,Yes,7
2/15/2021 15:05:56,2nd year,Bad,26,Male,21,Home,Single,Yes,1,Normal,Yes,No,No,Not applicable,No,Maybe,No,No,Yes,6
2/15/2021 15:06:02,1st year,Good,80,Male,20,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Family,No,No,Yes,No,Yes,7
2/15/2021 15:06:10,4th year,Bad,37,Male,23,Home,Single,Yes,2,Bad,Yes,Yes,Yes,Friends,Yes,Maybe,No,Yes,Yes,4
2/15/2021 15:06:14,2nd year,Very good,97,Male,21,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Not applicable,No,Yes,No,No,8
2/15/2021 15:06:19,2nd year,Very bad,13,Male,21,Town,Single,Yes,2,Bad,Yes,Yes,Yes,Friends,Not applicable,Maybe,No,No,No,4
2/15/2021 15:06:22,1st year,Good,81,Male,20,Playground,Single,Yes,4,Normal,No,No,Yes,Family,No,No,Neutral,No,Yes,6
2/15/2021 15:06:43,4th year,Very good,96,Male,23,Mosque,Single,Yes,5,Good,No,No,Yes,Friends,No,No,Neutral,No,Yes,9
2/15/2021 15:06:49,2nd year,Bad,27,Male,21,Department,Single,No,3,Bad,Yes,Yes,No,Not applicable,Yes,Maybe,Yes,Yes,No,3
2/15/2021 15:06:55,3rd year,Normal,59,Male,22,Hall-Mess,Single,No,3,Normal,Yes,Yes,Yes,Not applicable,Not applicable,No,Yes,Yes,No,7
2/15/2021 15:07:01,2nd year,Very bad,17,Male,21,Aunt's House,Single,Yes,1,Normal,Yes,Yes,Yes,Not applicable,No,Yes,Neutral,No,Yes,3
2/15/2021 15:07:11,4th year,Normal,51,Male,23,Department,Single,Yes,5,Normal,No,No,No,Family,No,No,Neutral,No,Yes,6
2/15/2021 15:07:17,3rd year,Good,80,Male,22,Sister's Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
2/15/2021 15:07:23,1st year,Good,85,Male,20,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Friends,No,No,Yes,No,Yes,9
2/15/2021 15:07:29,2nd year,Normal,52,Male,21,Mosque,Single,Yes,3,Normal,No,No,No,Family,Not applicable,No,Yes,Yes,Yes,7
2/15/2021 15:07:34,1st year,Bad,49,Male,20,Department,Single,No,3,Normal,Yes,Yes,No,Not applicable,No,No,Neutral,Yes,No,7
2/15/2021 15:07:41,3rd year,Very good,90,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,No,7
2/15/2021 15:09:19,3rd year,Bad,48,Male,22,Hall-Mess,Single,Yes,1,Good,Yes,Yes,Yes,Family,Not applicable,No,Yes,Yes,Yes,6
2/15/2021 15:11:19,4th year,Normal,62,Male,23,Department,Single,Yes,3,Good,No,No,No,Friends,Not applicable,No,Neutral,Yes,No,6
2/15/2021 15:13:19,3rd year,Very good,92,Male,22,Aunt's House,Single,Yes,4,Normal,No,No,Yes,Friends,No,No,Neutral,No,Yes,9
2/15/2021 15:15:19,1st year,Very bad,19,Male,20,Department,Single,No,3,Bad,Yes,Yes,No,Not applicable,No,Maybe,Neutral,Yes,No,6
2/15/2021 15:17:20,1st year,Very good,92,Male,20,Sister's Home,Single,Yes,4,Good,No,Yes,Yes,Not applicable,Yes,No,Yes,No,Yes,9
2/15/2021 15:19:20,1st year,Normal,61,Male,20,Playground,Single,Yes,4,Normal,Yes,Yes,Yes,Friends,Not applicable,No,Neutral,No,No,8
2/15/2021 15:21:20,2nd year,Very bad,13,Male,21,Aunt's House,Single,No,2,Good,Yes,Yes,No,Friends,Not applicable,Maybe,Neutral,Yes,Yes,6
2/15/2021 15:23:20,1st year,Normal,52,Male,20,Department,Single,No,3,Normal,Yes,Yes,No,Friends,No,No,Yes,Yes,No,6
2/15/2021 15:26:20,1st year,Very bad,18,Male,20,Sister's Home,Single,No,2,Normal,Yes,Yes,Yes,Family,No,No,Neutral,Yes,No,3
2/15/2021 15:29:21,3rd year,Normal,57,Male,22,Department,Single,Yes,3,Good,No,No,Yes,Family,Not applicable,Maybe,Yes,No,Yes,6
2/15/2021 15:31:20,4th year,Very good,100,Male,23,Aunt's House,Single,Yes,5,Good,No,Yes,Yes,Family,No,No,Neutral,No,No,9
2/15/2021 15:34:21,2nd year,Normal,68,Male,21,Department,Single,Yes,3,Good,Yes,Yes,Yes,Family,Not applicable,No,Neutral,No,Yes,8
2/15/2021 15:37:21,2nd year,Normal,68,Male,21,Sister's Home,Single,Yes,5,Normal,No,Yes,Yes,Not applicable,No,No,Neutral,Yes,No,8
2/15/2021 15:40:21,1st year,Normal,55,Male,20,Hall-Mess,Single,Yes,3,Normal,Yes,No,Yes,Family,Not applicable,No,Neutral,Yes,No,7
2/15/2021 15:42:21,4th year,Bad,40,Male,23,Hall-Mess,Single,Yes,1,Bad,Yes,Yes,No,Family,Yes,Yes,Yes,Yes,Yes,7
2/15/2021 15:44:21,2nd year,Bad,29,Male,21,Playground,Single,No,2,Good,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,Yes,7
2/15/2021 15:46:21,4th year,Very good,99,Male,23,Department,Single,Yes,5,Good,No,No,Yes,Not applicable,No,No,Yes,No,No,8
2/15/2021 15:48:22,3rd year,Very bad,12,Male,22,Playground,Single,No,2,Bad,Yes,Yes,No,Family,No,No,No,Yes,No,3
2/15/2021 15:50:21,1st year,Bad,21,Male,20,Playground,Single,Yes,1,Bad,Yes,No,No,Friends,No,Yes,Neutral,Yes,No,3
2/15/2021 15:53:22,3rd year,Very good,98,Male,22,Department,Single,Yes,5,Good,No,No,Yes,Family,No,No,Yes,No,Yes,7
2/15/2021 15:56:23,3rd year,Normal,60,Male,22,Hall-Mess,Single,No,5,Normal,Yes,Yes,Yes,Family,No,Maybe,Yes,No,Yes,6
2/15/2021 15:58:21,3rd year,Good,81,Male,22,Aunt's House,Single,Yes,5,Good,No,No,Yes,Not applicable,No,No,Yes,No,Yes,8
2/15/2021 16:01:22,1st year,Bad,46,Male,20,Hall-Mess,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Not applicable,Maybe,Yes,No,No,3
2/15/2021 16:04:22,2nd year,Very good,96,Male,21,Hall-Mess,Single,Yes,3,Good,No,Yes,Yes,Friends,No,No,Yes,No,Yes,6
2/15/2021 16:07:22,4th year,Good,89,Male,23,Playground,Single,Yes,5,Good,No,No,Yes,Friends,No,No,Yes,No,Yes,8
2/15/2021 16:10:22,4th year,Very bad,16,Male,23,Department,Single,Yes,2,Normal,Yes,Yes,Yes,Family,No,Maybe,Yes,No,No,6
2/15/2021 16:13:22,4th year,Very bad,16,Male,23,Home,Single,Yes,2,Bad,Yes,Yes,Yes,Friends,Not applicable,Maybe,No,Yes,Yes,5
2/15/2021 16:15:22,2nd year,Very good,90,Male,21,Department,Single,Yes,3,Good,No,No,Yes,Friends,Not applicable,No,Neutral,No,Yes,9
2/15/2021 16:18:23,2nd year,Good,74,Male,21,Home,Single,Yes,5,Good,No,Yes,Yes,Not applicable,Not applicable,No,Neutral,No,Yes,7
2/15/2021 16:20:23,2nd year,Very bad,16,Male,21,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,4
2/15/2021 16:23:23,3rd year,Very good,95,Male,22,Department,Single,Yes,3,Normal,No,Yes,Yes,Not applicable,No,No,Yes,No,Yes,7
2/15/2021 16:26:23,1st year,Bad,39,Male,20,Town,Single,No,2,Good,Yes,No,No,Not applicable,Not applicable,No,Neutral,Yes,No,3
2/15/2021 16:28:23,1st year,Very bad,5,Male,20,Town,Single,Yes,3,Normal,Yes,No,Yes,Friends,Yes,Yes,No,Yes,Yes,4
2/15/2021 16:30:23,2nd year,Very bad,19,Male,21,Playground,Single,No,1,Bad,Yes,Yes,No,Not applicable,No,No,Neutral,Yes,No,4
2/15/2021 16:33:24,1st year,Normal,53,Male,20,Playground,Single,No,3,Normal,No,No,No,Not applicable,Not applicable,Maybe,Yes,No,Yes,8
2/15/2021 16:36:23,3rd year,Very bad,3,Male,22,Department,Single,Yes,3,Good,Yes,No,Yes,Family,Not applicable,Maybe,Yes,No,No,7
2/15/2021 21:44:06,1st year,Good,70,Male,20,Sister's House,Single,Yes,4,Good,No,No,Yes,Family,Not applicable,No,Neutral,No,Yes,7
2/15/2021 21:47:06,2nd year,Very good,95,Male,21,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,No,No,Neutral,No,Yes,10
2/15/2021 21:50:06,2nd year,Bad,35,Male,21,Town,Single,Yes,2,Bad,Yes,Yes,No,Family,Yes,No,Yes,No,No,6
2/15/2021 21:52:06,3rd year,Good,84,Male,22,Cousin's House,Single,Yes,4,Good,No,No,Yes,Not applicable,No,No,Yes,No,No,8
2/15/2021 21:54:06,3rd year,Bad,42,Male,22,Hall-Mess,Single,No,1,Bad,Yes,No,No,Not applicable,Yes,No,No,No,Yes,6
2/15/2021 21:56:06,4th year,Very good,96,Male,23,Tour,Single,Yes,4,Normal,No,Yes,Yes,Not applicable,Not applicable,No,Neutral,No,No,10
2/15/2021 21:58:06,1st year,Good,83,Male,20,Restaurant,Single,Yes,5,Good,No,Yes,Yes,Not applicable,No,No,Neutral,No,No,6
2/15/2021 22:01:06,4th year,Bad,37,Male,23,Mosque,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,No,Yes,Yes,Yes,7
2/15/2021 22:03:07,2nd year,Bad,29,Male,21,Sister's House,Single,Yes,3,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,Yes,3
2/15/2021 22:06:07,4th year,Normal,67,Male,23,Department,Single,Yes,4,Normal,Yes,Yes,Yes,Not applicable,Yes,Maybe,Neutral,Yes,No,7
2/15/2021 22:09:07,1st year,Bad,29,Male,20,Playground,Single,No,2,Normal,Yes,Yes,Yes,Friends,Not applicable,Yes,Yes,No,Yes,5
2/15/2021 22:11:07,4th year,Very good,93,Male,23,Playground,Single,Yes,5,Good,No,No,Yes,Not applicable,No,No,Yes,No,No,8
2/15/2021 22:13:07,3rd year,Bad,33,Male,22,Home,Single,No,1,Good,Yes,No,Yes,Friends,Not applicable,Yes,Neutral,No,Yes,4
2/15/2021 22:15:07,3rd year,Bad,36,Male,22,Mosque,Single,No,3,Bad,Yes,No,Yes,Not applicable,Yes,Maybe,Yes,No,No,3
2/15/2021 22:18:07,4th year,Normal,66,Male,23,Sister's House,Single,No,4,Normal,No,No,No,Family,No,Maybe,Neutral,Yes,Yes,8
2/15/2021 22:21:08,4th year,Very good,91,Male,23,Cousin's House,Single,Yes,5,Normal,No,Yes,Yes,Friends,No,No,Yes,No,No,8
2/15/2021 22:23:08,2nd year,Good,78,Male,21,Home,Single,Yes,3,Good,No,No,Yes,Friends,Not applicable,No,Yes,No,No,7
2/15/2021 22:25:08,1st year,Good,78,Male,20,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,No,6
2/15/2021 22:28:08,4th year,Very good,92,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Not applicable,Yes,No,Yes,No,No,10
2/15/2021 22:30:08,4th year,Good,71,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Friends,No,No,Neutral,No,Yes,9
2/15/2021 22:32:08,2nd year,Normal,58,Male,21,Playground,Single,Yes,4,Normal,No,Yes,Yes,Friends,Not applicable,No,Neutral,No,Yes,6
2/15/2021 22:35:08,2nd year,Normal,55,Male,21,Department,Single,Yes,4,Normal,No,Yes,No,Family,No,No,Yes,No,Yes,8
2/15/2021 22:38:09,3rd year,Good,78,Male,22,Mosque,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,6
2/15/2021 22:40:09,4th year,Bad,38,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,No,Not applicable,Yes,Yes,Yes,Yes,No,4
2/15/2021 22:43:09,3rd year,Very good,96,Male,22,Aunt's House,Single,Yes,4,Good,No,Yes,Yes,Family,Not applicable,No,Yes,No,Yes,9
2/15/2021 22:46:09,2nd year,Very good,96,Male,21,Sister's House,Single,Yes,5,Normal,No,Yes,Yes,Not applicable,Not applicable,No,Yes,No,No,7
2/15/2021 22:48:09,2nd year,Very bad,9,Male,21,Sister's House,Single,No,3,Good,Yes,No,No,Friends,Yes,Maybe,No,No,Yes,3
2/15/2021 22:50:09,1st year,Bad,45,Male,20,Town,Single,No,2,Normal,Yes,No,Yes,Not applicable,Yes,Maybe,No,No,Yes,4
2/15/2021 22:53:09,3rd year,Very good,97,Male,22,Mosque,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,6
2/15/2021 22:56:09,2nd year,Good,79,Male,21,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
2/15/2021 22:59:09,2nd year,Good,83,Male,21,Cousin's House,Single,Yes,3,Normal,No,Yes,Yes,Not applicable,Not applicable,No,Yes,No,Yes,8
2/15/2021 23:02:10,3rd year,Normal,54,Male,22,Playground,Single,Yes,4,Good,Yes,No,Yes,Friends,Not applicable,Maybe,Neutral,Yes,No,7
2/15/2021 23:04:10,1st year,Very good,92,Male,20,Friend's House,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,9
